model,config,size,prompt_set,policy,backend,trial_index,runtime_s,error,throughput_tok_s,compute_used_gb,compute_total_gb,dest_used_gb,dest_total_gb,gpu_mem_util,offload_kv_capacity_gb,max_seq,avg_input_length,max_tokens,num_gpu_blocks,dest_gpu_id,gpu_mem_util,preempt_after_tokens,blocks_offloaded,blocks_reloaded,blocks_allocated,blocks_evicted,blocks_freed
facebook/opt-125m,opt-125m_xsmall_shared_arc,xsmall,shared_prefix,arc,gpu,1,135.53495148399998,,44896.168356384,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,50,85,6000,151670,1,0.032,20,56393,428,0,0,0
facebook/opt-125m,opt-125m_xsmall_shared_arc,xsmall,shared_prefix,arc,cpu,1,129.9031881769988,,46842.576270791134,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,50,85,6000,151670,1,0.032,20,53084,210,0,0,0
facebook/opt-125m,opt-125m_xsmall_shared_lru,xsmall,shared_prefix,lru,gpu,1,134.369633676999,,45285.52942718644,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,50,85,6000,151670,1,0.032,20,55013,171,0,0,0
facebook/opt-125m,opt-125m_xsmall_shared_lru,xsmall,shared_prefix,lru,cpu,1,132.46261537300052,,45937.489478561874,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,50,85,6000,151670,1,0.032,20,55046,374,0,0,0
facebook/opt-125m,opt-125m_small_shared_arc,small,shared_prefix,arc,gpu,1,119.5870867499998,,50883.42032046374,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,100,85,6000,151670,1,0.032,20,50772,441,0,0,0
facebook/opt-125m,opt-125m_small_shared_arc,small,shared_prefix,arc,cpu,1,128.17789655600063,,47473.08360877554,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,100,85,6000,151670,1,0.032,20,53663,525,0,0,0
facebook/opt-125m,opt-125m_small_shared_lru,small,shared_prefix,lru,gpu,1,131.73590172700096,,46190.901039339085,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,100,85,6000,151670,1,0.032,20,55367,334,0,0,0
facebook/opt-125m,opt-125m_small_shared_lru,small,shared_prefix,lru,cpu,1,122.49905830100033,,49673.85124747779,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,100,85,6000,151670,1,0.032,20,51794,279,0,0,0
facebook/opt-125m,opt-125m_medium_shared_arc,medium,shared_prefix,arc,gpu,1,131.8328407099998,,46156.936065616006,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,200,85,6000,151670,1,0.032,20,54369,312,0,0,0
facebook/opt-125m,opt-125m_medium_shared_arc,medium,shared_prefix,arc,cpu,1,145.60226577600042,,41791.932066231544,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,200,85,6000,151670,1,0.032,20,58382,301,0,0,0
